id,Title,Year,Age,IMDb,RTScore,Netflix,Hulu,Prime,Disney,Type
80,Our Planet,2019,all,9.3,82,1,0,0,0,1
81,Narcos: Mexico,2018,18,8.4,82,1,0,0,0,1
82,Shadow and Bone,2021,16,7.7,82,1,0,0,0,1
83,Castlevania,2017,18,8.3,82,1,0,0,0,1
84,Star Trek,1966,7,8.3,82,1,1,1,0,1
85,The Kominsky Method,2018,18,8.2,82,1,0,0,0,1
86,Hunter x Hunter,2011,16,9.0,82,1,1,0,0,1
87,Dead to Me,2019,18,8.0,82,1,0,0,0,1
88,The Haunting of Hill House,2018,18,8.6,82,1,0,0,0,1
89,Russian Doll,2019,18,7.9,82,1,0,0,0,1
90,Kingdom,2019,18,8.4,82,1,1,0,0,1
91,Neon Genesis Evangelion,1995,16,8.5,82,1,0,0,0,1
92,Naruto,2002,7,8.3,81,1,1,0,0,1
93,NCIS,2003,16,7.7,81,1,0,0,0,1
94,Manifest,2018,16,7.2,81,1,1,0,0,1
95,Halt and Catch Fire,2014,16,8.4,81,1,0,0,0,1
96,Monty Python's Flying Circus,1969,16,8.8,81,1,0,0,0,1
97,After Life,2019,18,8.4,81,1,0,0,0,1
98,Riverdale,2017,16,6.8,81,1,1,0,0,1
99,Big Mouth,2017,18,7.9,81,1,0,0,0,1
100,I Think You Should Leave with Tim Robinson,2019,18,7.8,81,1,0,0,0,1
101,Derry Girls,2018,16,8.4,81,1,0,0,0,1
102,The Promised Neverland,2019,18,8.5,81,1,1,0,0,1
103,Lost in Space,2018,7,7.3,80,1,1,0,0,1
104,Star Trek: Deep Space Nine,1993,7,8.0,80,1,1,1,0,1
105,Jane the Virgin,2014,16,7.8,80,1,0,0,0,1
106,Godless,2017,18,8.3,80,1,0,0,0,1
107,The OA,2016,18,7.8,80,1,0,0,0,1
108,DC's Legends of Tomorrow,2016,16,6.8,80,1,0,0,0,1
109,Sacred Games,2018,18,8.6,80,1,0,0,0,1
110,iZombie,2015,16,7.8,80,1,0,0,0,1
111,Longmire,2012,16,8.3,80,1,0,0,0,1
112,Happy Endings,2011,16,7.7,80,1,1,0,0,1
113,Into the Badlands,2015,16,8.0,80,1,0,0,0,1
114,The Originals,2013,16,8.2,80,1,0,0,0,1
115,Anne with an E,2017,all,8.7,80,1,0,0,0,1
116,Grace and Frankie,2015,18,8.3,80,1,0,0,0,1
117,Chilling Adventures of Sabrina,2018,16,7.5,80,1,0,0,0,1
118,Queen of the South,2016,16,8.0,79,1,0,0,0,1
119,A Series of Unfortunate Events,2017,7,7.8,79,1,0,0,0,1
120,Bridgerton,2020,,7.3,79,1,0,0,0,1
121,Unorthodox,2020,18,8.0,79,1,0,0,0,1
122,Stargate SG-1,1997,13,8.4,79,1,1,0,0,1
123,Outer Banks,2020,18,7.6,79,1,0,0,0,1
124,13 Reasons Why,2017,18,7.6,79,1,0,0,0,1
125,Unbreakable Kimmy Schmidt,2015,16,7.6,79,1,0,0,0,1
126,Marvel's Luke Cage,2016,18,7.3,79,1,0,0,0,1
127,GLOW,2017,18,8.0,79,1,0,0,0,1
128,Borgen,2010,18,8.5,79,1,0,0,0,1
129,The 4400,2004,7,7.3,79,1,0,0,0,1
130,Alias Grace,2017,18,7.7,79,1,0,0,0,1
131,All American,2018,16,7.7,79,1,0,0,0,1
132,Santa Clarita Diet,2017,18,7.8,79,1,0,0,0,1
133,Reign,2013,16,7.5,78,1,0,0,0,1
134,Maniac,2018,18,7.8,78,1,0,0,0,1
135,Dark Matter,2015,18,7.5,78,1,0,1,0,1
136,Star Trek: Voyager,1995,7,7.8,78,1,1,1,0,1
137,"Tiger King: Murder, Mayhem and Madness",2020,18,7.6,78,1,0,0,0,1
138,Call the Midwife,2012,16,8.4,78,1,0,0,0,1
139,Queer Eye,2018,16,8.5,78,1,0,0,0,1
140,American Vandal,2017,16,8.2,78,1,0,0,0,1
141,Wynonna Earp,2016,16,7.5,78,1,0,0,0,1
142,Marvel's The Defenders,2017,18,7.3,78,1,0,0,0,1
143,HAPPY!,2017,18,8.2,77,1,0,0,0,1
144,Haikyu!!,2014,16,8.7,77,1,1,0,0,1
145,Colony,2016,16,7.4,77,1,0,0,0,1
146,Heartland,2007,7,8.4,77,1,0,1,0,1
147,Alone,2015,16,8.4,77,1,1,0,0,1
148,Marco Polo,2014,18,8.0,77,1,0,1,0,1
149,Wild Wild Country,2018,16,8.1,77,1,0,0,0,1
150,The Dragon Prince,2018,7,8.4,77,1,0,0,0,1
151,Locke & Key,2020,16,7.4,77,1,0,0,0,1
152,Love,2016,18,7.7,77,1,0,0,0,1
153,One Day at a Time,2017,7,8.2,77,1,0,0,0,1
154,Feel Good,2020,18,7.5,77,1,0,0,0,1
155,Fauda,2015,16,8.2,77,1,0,0,0,1
156,The Dark Crystal: Age of Resistance,2019,7,8.4,77,1,0,0,0,1
157,Top Boy,2011,18,8.4,77,1,0,0,0,1
158,I Am Not Okay with This,2020,18,7.5,77,1,0,0,0,1
159,Supergirl,2015,16,6.2,77,1,0,0,0,1
160,The Shannara Chronicles,2016,16,7.2,77,1,0,0,0,1
161,Designated Survivor,2016,7,7.5,77,1,0,0,0,1
162,Travelers,2016,16,8.1,77,1,0,0,0,1
163,StartUp,2016,18,7.9,77,1,0,0,0,1
164,Ripper Street,2012,18,8.1,77,1,0,0,0,1
165,Episodes,2011,18,7.8,77,1,0,0,0,1
166,Crazy Ex-Girlfriend,2015,16,7.8,76,1,0,0,0,1
167,Bloodline,2015,18,7.9,76,1,0,0,0,1
168,Black Summer,2019,18,6.5,76,1,0,0,0,1
169,The Borgias,2011,18,7.9,76,1,0,0,0,1
170,Glee,2009,16,6.7,76,1,0,1,0,1
171,The Stranger,2020,18,7.3,76,1,0,0,0,1
172,Virgin River,2019,16,7.4,76,1,0,0,0,1
173,Lilyhammer,2012,18,8.0,76,1,0,0,0,1
174,Dirty John,2018,18,7.2,76,1,0,0,0,1
175,TURN: Washington's Spies,2014,16,8.1,76,1,0,0,0,1
176,Star Trek: Enterprise,2001,7,7.5,76,1,1,1,0,1
177,She-Ra and the Princesses of Power,2018,all,7.9,75,1,0,0,0,1
178,Merlin,2008,7,7.9,75,1,1,1,0,1
